normalized_period,symbol,original_period,out_sample_range,metric_value,selected_based_on_period
465,CHZUSDT,185,2022-08-11 07:00:00 to 2022-08-13 07:00:00,0.1718667291722522,464
467,GMTUSDT,47,2022-08-15 04:00:00 to 2022-08-17 04:00:00,0.0,466
469,DENTUSDT,167,2022-08-19 04:00:00 to 2022-08-21 04:00:00,-4.720619761528542,468
471,BNBUSDT,304,2022-08-22 08:00:00 to 2022-08-24 08:00:00,0.0,470
473,LTCUSDT,316,2022-08-26 08:00:00 to 2022-08-28 08:00:00,-1.8733836209098265,472
475,ADAUSDT,310,2022-08-30 08:00:00 to 2022-09-01 08:00:00,0.0,474
477,ATOMUSDT,309,2022-09-03 12:00:00 to 2022-09-05 12:00:00,1.9677555982511332,476
478,ALGOUSDT,266,2022-09-04 09:00:00 to 2022-09-06 09:00:00,0.6180674157303474,477
479,PEOPLEUSDT,82,2022-09-08 04:00:00 to 2022-09-10 04:00:00,0.0,478
481,ADAUSDT,314,2022-09-11 08:00:00 to 2022-09-13 08:00:00,2.710169796366099,480
483,SXPUSDT,258,2022-09-15 09:00:00 to 2022-09-17 09:00:00,-0.7700900393922165,482
485,ALGOUSDT,271,2022-09-19 09:00:00 to 2022-09-21 09:00:00,1.58799867327436,484
487,DENTUSDT,179,2022-09-24 04:00:00 to 2022-09-26 04:00:00,0.0,486
488,XLMUSDT,322,2022-09-24 08:00:00 to 2022-09-26 08:00:00,1.7356265668760351,487
489,DUSKUSDT,84,2022-09-28 03:30:00 to 2022-09-30 03:30:00,1.253705015279538,488
491,MKRUSDT,256,2022-10-02 07:00:00 to 2022-10-04 07:00:00,1.7780382775119503,490
493,DENTUSDT,183,2022-10-06 04:00:00 to 2022-10-08 04:00:00,0.0,492
495,SXPUSDT,266,2022-10-09 09:00:00 to 2022-10-11 09:00:00,-0.549482374047384,494
496,BAKEUSDT,166,2022-10-11 07:00:00 to 2022-10-13 07:00:00,-1.0198906801576049,495
497,DYDXUSDT,129,2022-10-14 03:30:00 to 2022-10-16 03:30:00,0.6600698630137048,496
499,ZENUSDT,227,2022-10-18 07:00:00 to 2022-10-20 07:00:00,0.0,498
500,INJUSDT,17,2022-10-19 02:45:00 to 2022-10-21 02:45:00,-1.5239817128236064,499
501,SXPUSDT,270,2022-10-21 09:00:00 to 2022-10-23 09:00:00,0.0,500
503,ALGOUSDT,283,2022-10-25 09:00:00 to 2022-10-27 09:00:00,0.0,502
505,XMRUSDT,329,2022-10-29 08:00:00 to 2022-10-31 08:00:00,0.0,504
506,CHZUSDT,212,2022-10-31 07:00:00 to 2022-11-02 07:00:00,3.4323212681344923,505
507,DUSKUSDT,96,2022-11-03 03:30:00 to 2022-11-05 03:30:00,1.0641217223959574,506
509,BAKEUSDT,175,2022-11-07 07:00:00 to 2022-11-09 07:00:00,-13.974231633766612,508
510,DENTUSDT,194,2022-11-08 04:00:00 to 2022-11-10 04:00:00,-22.01687112560898,509
511,SNXUSDT,269,2022-11-11 07:00:00 to 2022-11-13 07:00:00,1.2275191011235984,510
513,COMPUSDT,285,2022-11-14 09:00:00 to 2022-11-16 09:00:00,0.0,512
514,ALGOUSDT,290,2022-11-15 09:00:00 to 2022-11-17 09:00:00,0.8371358734723253,513
515,DOGEUSDT,283,2022-11-18 09:00:00 to 2022-11-20 09:00:00,0.0,514
